"","Kingdom","Phylum","Class","Order","Family","Genus"
"Abiotrophia","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia"
"Acetobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acetobacter"
"Acholeplasma","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"Acidovorax","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Acidovorax"
"Acinetobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Actinobacillus","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"Actinomyces","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Advenella","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Advenella"
"Aestuariimicrobium","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Aestuariimicrobium"
"Agathobacter","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter"
"Aggregatibacter","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter"
"Alishewanella","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alishewanella"
"Alistipes","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Alkanindiges","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges"
"Allisonella","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Allisonella"
"Alloprevotella","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Alloscardovia","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Alloscardovia"
"Alysiella","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","Alysiella"
"Amaricoccus","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"Anaerococcus","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus"
"Anaeroglobus","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaeroglobus"
"Anaerovibrio","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaerovibrio"
"Anaerovorax","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Anaerovorax"
"Anthococcus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Anthococcus"
"Aquabacterium","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium"
"Arcanobacterium","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Arcanobacterium"
"Arcobacter","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter"
"Arthrobacter","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"Asinibacterium","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Asinibacterium"
"Atopobacter","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopobacter"
"Atopobium","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium"
"Aureimonas","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas"
"Azomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azomonas"
